tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err
231663901,101.01,PC,318.736981,-55.87178,12.352,0.034,1326.008874,0.000339,1.430401,3.20E-05,1.638765,0.026081
149603524,102.01,PC,87.139956,-63.988427,9.716,0.018,1326.07657,0.00013,4.4121,1.00E-05,3.702,0.017
336732616,103.01,PC,312.457438,-24.428796,11.464,0.018,1327.25256,0.000586,3.547854,0.000149,3.494333,0.049205
231670397,104.01,PC,319.949611,-58.148876,9.848,0.018,1327.673462,0.000842,4.087445,0.000239,5.59014,0.066407
144065872,105.01,PC,337.457199,-48.003087,9.48,0.02,1326.50599,0.000156,2.184659,2.30E-05,2.869426,0.012752
38846515,106.01,PC,68.959732,-64.02704,10.307,0.019,1326.74502,0.000459,2.84938,0.000129,3.760389,0.036369
92352620,107.01,PC,313.783108,-34.135572,9.639,0.019,1328.29934,0.000307,3.950054,8.80E-05,4.557506,0.023461
289793076,108.01,PC,316.961466,-26.09666,13.096,0.017,1328.084864,0.000922,3.043839,0.000202,2.660993,0.073265
29344935,109.01,PC,313.21548,-25.687338,13.18,0.019,1326.127529,0.001296,2.766737,0.000254,2.568721,0.112022
281459670,110.01,PC,5.618692,-59.942551,11.632,0.018,1328.040464,0.000446,3.174305,4.40E-05,2.723339,0.030983
355703913,111.01,PC,0.774485,-62.469342,13.129,0.018,1326.106369,0.001084,2.106098,6.90E-05,1.574766,0.083967
388104525,112.01,PC,55.93344,-65.193856,11.547,0.018,1327.409511,0.000267,2.499802,2.20E-05,2.87254,0.022436
97409519,113.01,PC,332.714323,-30.749674,12.143,0.018,1327.053085,0.000623,3.372877,0.000147,2.63426,0.043644
25155310,114.01,PC,63.37389,-69.226789,10.555,0.018,1327.51895,0.0003,3.28891,2.00E-05,3.362,0.036
281541555,115.01,PC,6.702439,-56.316124,12.98,0.018,1329.90069,0.001812,4.742745,0.000262,2.408768,0.137056
238176110,116.01,PC,357.84526,-70.152863,10.991,0.019,1326.689274,0.00026,2.798594,4.90E-05,2.366459,0.022664
322307342,117.01,PC,15.005896,-58.90478,11.734,0.019,1328.4809,0.00133,3.5855,0.00038,3.173,0.123
266980320,118.01,PC,349.556843,-56.903885,9.154,0.017,1329.199631,0.001235,6.036061,0.000637,2.123832,0.09961
278683844,119.01,PC,99.237983,-58.015237,9.234,0.018,1327.614054,0.003069,5.541738,0.000551,2.967805,0.190057
278683844,119.02,PC,99.237983,-58.015237,9.234,0.018,1328.037451,0.00493,10.694535,0.00162,3.376284,0.295038
394137592,120.01,PC,4.446408,-66.358985,7.144,0.03,1332.082805,0.000707,11.535076,0.001035,8.555958,0.069027
207081058,121.01,PC,331.867232,-41.815456,9.929,0.019,1336.139719,0.00037,14.775056,0.000529,5.449073,0.03672
231702397,122.01,PC,332.947,-58.9451,13.048,0.04,1329.121491,0.002308,5.077677,0.000878,1.155359,0.447793
290131778,123.01,PC,319.6994,-26.616077,8.803,0.018,1325.375658,0.000473,3.308754,0.000101,5.634728,0.031274
29831208,124.01,PC,66.582618,-67.806508,11.04,0.018,1326.544424,0.001148,1.84286,4.60E-05,1.719758,0.104861
52368076,125.01,PC,23.594697,-66.67583,10.138,0.017,1327.432906,0.001879,4.653811,0.000289,2.921928,0.288457
52368076,125.02,PC,23.594697,-66.67583,10.138,0.017,1334.45669,0.002132,9.150607,0.00073,2.907668,0.380794
52368076,125.03,PC,23.594697,-66.67583,10.138,0.017,1342.851835,0.003286,19.981866,0.004595,2.991231,0.720831
70440470,126.01,PC,339.489337,-35.153982,12.725,0.018,1326.731043,0.000948,3.035381,0.000203,2.886722,0.077295
234523599,127.01,PC,15.551099,-61.756001,14.097,0.018,1325.650197,0.000565,3.795609,6.90E-05,2.042805,0.04323
391949880,128.01,PC,79.522476,-80.964663,7.9,0.017,1328.129344,0.001912,4.940663,0.000654,2.202493,0.278214
201248411,129.01,PC,0.187097,-54.830506,9.82357,0.016928,1354.552404,0.000149,0.980981,1.00E-05,0.743316,0.014155
263003176,130.01,PC,12.541184,-83.743964,7.426,0.019,1336.559583,0.002205,14.339928,0.003271,4.653356,0.530555
235037761,131.01,PC,353.826767,-64.561769,9.737,0.018,1326.068952,0.000449,6.240662,0.000179,1.569129,0.040222
89020549,132.01,PC,338.39942,-43.436628,10.803,0.018,1326.903983,0.001768,2.109307,0.00025,2.068328,0.357938
219338557,133.01,PC,354.395739,-58.954636,9.883,0.018,1327.291396,0.002752,8.1952,0.001473,2.309555,0.457632
234994474,134.01,PC,350.0313,-60.0652,9.169,0.019,1326.033176,0.001456,1.401461,0.000137,1.264937,0.207902
267263253,135.01,PC,7.328937,-76.304075,9.213,0.019,1325.783759,0.000208,4.126904,5.70E-05,4.492686,0.016126
410153553,136.01,PC,340.4921,-69.169,11.877,0.064,1325.72603,0.000322,0.46291,1.10E-05,0.520794,0.106125
176957796,137.01,PC,101.297297,-66.238034,10.642,0.018,1327.369003,0.004306,4.819018,0.001436,3.035372,0.275922
277683130,138.01,PC,328.926194,-61.673286,9.534,0.018,1328.058635,0.000797,6.198041,0.000348,2.176782,0.055149
62483237,139.01,PC,336.402307,-34.909623,9.295,0.02,1334.896388,0.001811,11.058421,0.00257,2.136519,0.327214
140068425,140.01,PC,330.301574,-49.060026,9.806,0.041,1327.399305,0.001311,2.28139,0.000207,0.859711,0.116683
403224672,141.01,PC,338.984609,-59.864489,7.358,0.018,1325.538528,0.001209,1.007908,8.50E-05,1.534232,0.161406
425934411,142.01,PC,4.60579,-62.847886,14.672,0.018,1325.489793,0.000851,0.853319,2.40E-05,1.139772,0.074358
25375553,143.01,PC,328.767654,-22.612566,9.772,0.019,1325.58249,0.000343,2.310894,5.50E-05,3.422324,0.025078
261136679,144.01,PC,84.291198,-80.469143,5.097,0.063,1325.503694,0.003021,6.266571,0.001314,3.093161,0.20533
265612438,145.01,PC,333.174746,-55.978763,11.635,0.019,1327.04953,0.00317,5.12944,0.00132,4.832,0.202
355636844,146.01,PC,358.301495,-56.01304,10.241,0.019,1330.55618,0.00445,6.29632,0.00401,2.938,0.305
220435095,147.01,PC,73.6414,-57.513557,11.818,0.018,1326.61107,0.00143,3.42316,0.00033,1.95,0.406
393940766,148.01,PC,338.320677,-38.159717,11.727,0.018,1327.33133,0.00241,4.8661,0.00101,3.215,0.228
260985861,149.01,PC,76.635855,-80.768181,10.14,0.018,1327.40226,0.002,3.34024,0.00049,4.077,0.323
271893367,150.01,PC,112.965695,-73.606125,10.865,0.019,1326.27838,0.00139,5.85758,0.00053,5.818,0.107
382302241,151.01,PC,83.348955,-58.745231,10.976,0.018,1326.04926,0.00331,1.59783,0.00034,1.49,0.296
403287048,152.01,PC,332.357821,-62.333998,11.28,0.018,1327.92337,0.00494,7.00776,0.00315,2.68,0.824
231081369,153.01,PC,68.073647,-66.916366,11.686,0.018,1329.84791,0.00204,7.63227,0.00108,1.656,0.427
389525208,154.01,PC,313.261485,-38.59487,10.044,0.019,1329.35996,0.00111,6.74709,0.00067,2.343,0.136
129637892,155.01,PC,321.114974,-37.850144,9,0.02,1326.74444,0.0038,5.43636,0.00194,5.974,0.257
220518305,156.01,PC,41.467255,-64.320724,10.277,0.019,1336.13203,0.00186,14.14893,0.00189,3.765,0.23
140691463,157.01,PC,73.701279,-76.680516,11.976,0.018,1326.54604,0.00053,2.08457,9.00E-05,1.788,0.046
403136413,158.01,PC,333.578639,-55.379022,11.18,0.018,1326.37811,0.00219,2.51266,0.00045,2.411,0.173
394657039,159.01,PC,51.781947,-78.549812,10.477,0.018,1328.63687,0.00055,3.76276,0.00019,4.108,0.076
253917293,160.01,PC,337.500659,-31.924254,11.233,0.018,1327.37627,0.00284,4.608,0.001,3.383,0.758
348770361,161.01,PC,46.68608,-82.316422,11.419,0.018,1325.70292,0.00212,2.76898,0.00047,4.619,0.289
99493790,162.01,PC,317.639656,-23.305696,11.617,0.018,1332.98188,0.00071,7.76686,0.00094,3.291,0.097
179317684,163.01,PC,79.768168,-71.895588,10.843,0.018,1328.87975,0.00102,4.23163,0.00036,4.232,0.071
79395355,164.01,PC,320.054165,-51.309907,11.388,0.019,1328.33733,0.00377,7.31898,0.00224,3.771,0.886
350743714,165.01,PC,88.885933,-57.290593,9.789,0.024,1388.296648,0.000774,7.76178,0.001112,3.494972,0.066196
147203645,166.01,PC,323.195894,-44.017794,10.696,0.018,1326.38424,0.0021,5.06187,0.00094,1.247,0.243
149990841,167.01,PC,90.662314,-64.819485,11.57,0.018,1328.03406,0.00146,4.45339,0.00055,2.164,0.267
369457671,168.01,PC,311.643495,-37.904371,11.419,0.018,1326.49996,0.00403,2.31257,0.00078,1.459,0.202
183120439,169.01,PC,16.7783,-75.198873,11.742,0.018,1327.43797,0.00103,2.25596,0.00014,1.134,0.053
394698182,170.01,PC,54.988393,-83.088557,11.928,0.019,1325.51317,0.00085,3.7118,0.00021,2.747,0.093
309257814,171.01,PC,124.269511,-63.213478,11.541,0.019,1326.40275,0.00096,1.23855,9.00E-05,1.82,0.188
29857954,172.01,PC,316.631883,-26.69262,10.711,0.019,1326.91973,0.00529,9.47572,0.00316,4.709,0.382
270341214,173.01,PC,33.458316,-80.582809,8.866,0.018,1333.41089,0.000959,NaN,NaN,7.943456,0.110177
